1,2,3,4,5,6,7
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.3525-0.385]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.4175-inf)\'','\'(31.215-37.456]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.094-3.185]\'','\'(0.4175-inf)\'','\'(43.697-49.938]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.3525-0.385]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.4175-inf)\'','\'(31.215-37.456]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(4.74-4.82]\'','\'(-inf-3.064]\'','\'(3.549-inf)\'','\'(0.4175-inf)\'','\'(49.938-56.179]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.3525-0.385]\'','\'(12.492-18.733]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.4175-inf)\'','\'(31.215-37.456]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(4.74-4.82]\'','\'(5.096-inf)\'','\'(-inf-2.821]\'','\'(0.4175-inf)\'','\'(49.938-56.179]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.3525-0.385]\'','\'(12.492-18.733]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.4175-inf)\'','\'(31.215-37.456]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(3.826-4.08]\'','\'(3.458-3.549]\'','\'(0.4175-inf)\'','\'(49.938-56.179]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.3525-0.385]\'','\'(12.492-18.733]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.4175-inf)\'','\'(31.215-37.456]\''
'\'(-2.5--2]\'','\'(0.572-0.579]\'','\'(-inf-4.42]\'','\'(3.826-4.08]\'','\'(-inf-2.821]\'','\'(0.4175-inf)\'','\'(49.938-56.179]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.3525-0.385]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.4175-inf)\'','\'(31.215-37.456]\''
'\'(-2.5--2]\'','\'(0.565-0.572]\'','\'(-inf-4.42]\'','\'(-inf-3.064]\'','\'(3.094-3.185]\'','\'(0.4175-inf)\'','\'(49.938-56.179]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.2225-0.255]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.255-0.2875]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.2875-0.32]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.32-0.3525]\'','\'(6.251-12.492]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.3525-0.385]\'','\'(12.492-18.733]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.385-0.4175]\'','\'(18.733-24.974]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.4175-inf)\'','\'(31.215-37.456]\''
'\'(-2.5--2]\'','\'(0.558-0.565]\'','\'(5.06-inf)\'','\'(4.842-5.096]\'','\'(3.094-3.185]\'','\'(0.4175-inf)\'','\'(43.697-49.938]\''
'\'(-2.5--2]\'','\'(0.579-0.586]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.276-3.367]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.579-0.586]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.276-3.367]\'','\'(-inf-0.1575]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.579-0.586]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.276-3.367]\'','\'(0.1575-0.19]\'','\'(-inf-6.251]\''
'\'(-2.5--2]\'','\'(0.579-0.586]\'','\'(4.74-4.82]\'','\'(3.826-4.08]\'','\'(3.276-3.367]\'','\'(0.19-0.2225]\'','\'(-inf-6.251]\''
