0	0	0	0	0	0	0	0	1	3	6
0	0	0	0	0	1	0	0	1	3	6
0	0	0	0	0	2	0	0	1	3	6
0	0	0	0	0	3	0	0	1	3	6
1	1	1	1	0	0	0	0	0	1	3
1	1	1	1	0	1	0	0	0	1	3
1	1	1	1	0	2	0	0	0	1	3
1	1	1	1	0	3	0	0	0	1	2
2	2	0	2	0	0	0	0	0	1	2
2	2	0	2	0	1	0	0	0	1	2
2	2	0	2	0	2	0	0	0	1	2
2	2	0	2	0	3	0	0	1	3	7
3	3	1	2	0	0	0	0	1	3	7
3	3	1	2	0	1	0	0	1	3	7
3	3	1	2	0	2	0	0	1	3	7
3	3	1	2	0	3	0	0	1	3	7
4	4	2	2	0	0	0	0	3	7	14
4	4	2	2	0	1	0	0	3	7	15
4	4	2	2	0	2	0	0	3	7	15
4	4	2	2	0	3	0	0	3	7	14
5	4	3	1	0	0	0	0	0	0	1
5	4	3	1	0	1	0	0	0	0	1
5	4	3	1	0	2	0	0	0	0	1
5	4	3	1	0	3	0	0	0	0	1
5	5	4	3	1	0	0	0	1	2	5
5	5	4	3	1	1	0	0	1	2	5
5	5	4	3	1	2	0	0	1	2	5
5	5	4	3	1	3	0	0	1	2	5
6	6	5	3	1	0	0	0	1	2	5
6	6	5	3	1	1	0	0	1	2	5
6	6	5	3	1	2	0	0	1	2	5
6	6	5	3	1	3	0	0	1	2	5
7	7	0	3	1	0	0	0	1	2	5
7	7	0	3	1	1	0	0	1	2	5
7	7	0	3	1	2	0	0	1	2	5
7	7	0	3	1	3	0	0	1	2	5
7	8	1	3	1	0	0	0	1	2	5
7	8	1	3	1	1	0	0	1	2	5
7	8	1	3	1	2	0	0	1	2	5
7	8	1	3	1	3	0	0	1	2	5
8	9	2	3	1	0	0	0	1	2	4
8	9	2	3	1	1	0	0	1	2	4
8	9	2	3	1	2	0	0	1	2	4
8	9	2	3	1	3	0	0	1	2	4
8	9	6	3	1	0	0	0	1	2	5
8	9	6	3	1	1	0	0	1	2	5
8	9	6	3	1	2	0	0	1	2	5
8	9	6	3	1	3	0	0	1	2	5
0	0	0	0	0	0	1	1	0	0	1
0	0	0	0	0	1	1	1	0	0	1
0	0	0	0	0	2	1	1	0	0	1
0	0	0	0	0	3	1	1	0	0	1
1	1	1	1	0	0	1	1	3	7	15
1	1	1	1	0	1	1	1	3	7	15
1	1	1	1	0	2	1	1	3	7	15
1	1	1	1	0	3	1	1	3	7	14
2	2	0	2	0	0	1	1	0	0	0
2	2	0	2	0	1	1	1	0	0	0
2	2	0	2	0	2	1	1	0	0	0
2	2	0	2	0	3	1	1	0	0	0
3	3	1	2	0	0	1	1	0	0	1
3	3	1	2	0	1	1	1	0	0	1
3	3	1	2	0	2	1	1	0	0	1
3	3	1	2	0	3	1	1	0	0	1
4	4	2	2	0	0	1	1	2	5	10
4	4	2	2	0	1	1	1	2	5	11
4	4	2	2	0	2	1	1	2	5	11
4	4	2	2	0	3	1	1	2	5	10
5	4	3	1	0	0	1	1	3	6	12
5	4	3	1	0	1	1	1	3	6	13
5	4	3	1	0	2	1	1	3	6	12
5	4	3	1	0	3	1	1	3	6	13
5	5	4	3	1	0	1	1	1	2	4
5	5	4	3	1	1	1	1	1	2	4
5	5	4	3	1	2	1	1	1	2	4
5	5	4	3	1	3	1	1	1	2	4
6	6	5	3	1	0	1	1	1	2	4
6	6	5	3	1	1	1	1	1	2	4
6	6	5	3	1	2	1	1	1	2	4
6	6	5	3	1	3	1	1	1	2	4
7	7	0	3	1	0	1	1	1	2	4
7	7	0	3	1	1	1	1	1	2	4
7	7	0	3	1	2	1	1	1	2	4
7	7	0	3	1	3	1	1	1	2	4
7	8	1	3	1	0	1	1	1	2	4
7	8	1	3	1	1	1	1	1	2	4
7	8	1	3	1	2	1	1	1	2	4
7	8	1	3	1	3	1	1	1	2	4
8	9	2	3	1	0	1	1	1	3	6
8	9	2	3	1	1	1	1	1	3	6
8	9	2	3	1	2	1	1	1	3	6
8	9	2	3	1	3	1	1	1	3	6
8	9	6	3	1	0	1	1	1	2	4
8	9	6	3	1	1	1	1	1	2	4
8	9	6	3	1	2	1	1	1	2	4
8	9	6	3	1	3	1	1	1	2	4
0	0	0	0	0	0	1	2	0	0	1
0	0	0	0	0	1	1	2	0	0	1
0	0	0	0	0	2	1	2	0	0	1
0	0	0	0	0	3	1	2	0	0	1
1	1	1	1	0	0	1	2	3	7	14
1	1	1	1	0	1	1	2	3	7	15
1	1	1	1	0	2	1	2	3	7	14
1	1	1	1	0	3	1	2	3	7	14
2	2	0	2	0	0	1	2	0	0	0
2	2	0	2	0	1	1	2	0	0	0
2	2	0	2	0	2	1	2	0	0	0
2	2	0	2	0	3	1	2	0	0	0
3	3	1	2	0	0	1	2	0	0	1
3	3	1	2	0	1	1	2	0	0	1
3	3	1	2	0	2	1	2	0	0	1
3	3	1	2	0	3	1	2	0	0	1
4	4	2	2	0	0	1	2	2	5	10
4	4	2	2	0	1	1	2	2	5	11
4	4	2	2	0	2	1	2	2	5	11
4	4	2	2	0	3	1	2	2	5	10
5	4	3	1	0	0	1	2	3	6	12
5	4	3	1	0	1	1	2	3	6	13
5	4	3	1	0	2	1	2	3	6	12
5	4	3	1	0	3	1	2	3	6	13
5	5	4	3	1	0	1	2	1	2	4
5	5	4	3	1	1	1	2	1	2	4
5	5	4	3	1	2	1	2	1	2	4
5	5	4	3	1	3	1	2	1	2	4
6	6	5	3	1	0	1	2	1	2	4
6	6	5	3	1	1	1	2	1	2	4
6	6	5	3	1	2	1	2	1	2	4
6	6	5	3	1	3	1	2	1	2	4
7	7	0	3	1	0	1	2	1	2	4
7	7	0	3	1	1	1	2	1	2	4
7	7	0	3	1	2	1	2	1	2	4
7	7	0	3	1	3	1	2	1	2	4
7	8	1	3	1	0	1	2	1	2	4
7	8	1	3	1	1	1	2	1	2	4
7	8	1	3	1	2	1	2	1	2	4
7	8	1	3	1	3	1	2	1	2	4
8	9	2	3	1	0	1	2	1	3	6
8	9	2	3	1	1	1	2	1	3	6
8	9	2	3	1	2	1	2	1	3	6
8	9	2	3	1	3	1	2	1	3	6
8	9	6	3	1	0	1	2	1	2	4
8	9	6	3	1	1	1	2	1	2	4
8	9	6	3	1	2	1	2	1	2	4
8	9	6	3	1	3	1	2	1	2	4
0	0	0	0	0	0	1	3	0	0	1
0	0	0	0	0	1	1	3	0	0	1
0	0	0	0	0	2	1	3	0	0	1
0	0	0	0	0	3	1	3	0	0	1
1	1	1	1	0	0	1	3	3	7	14
1	1	1	1	0	1	1	3	3	7	15
1	1	1	1	0	2	1	3	3	7	15
1	1	1	1	0	3	1	3	3	7	15
2	2	0	2	0	0	1	3	0	0	0
2	2	0	2	0	1	1	3	0	0	0
2	2	0	2	0	2	1	3	0	0	0
2	2	0	2	0	3	1	3	0	0	0
3	3	1	2	0	0	1	3	0	0	1
3	3	1	2	0	1	1	3	0	0	1
3	3	1	2	0	2	1	3	0	0	1
3	3	1	2	0	3	1	3	0	0	1
4	4	2	2	0	0	1	3	2	5	10
4	4	2	2	0	1	1	3	2	5	10
4	4	2	2	0	2	1	3	2	5	11
4	4	2	2	0	3	1	3	2	5	11
5	4	3	1	0	0	1	3	3	6	13
5	4	3	1	0	1	1	3	3	6	12
5	4	3	1	0	2	1	3	3	6	13
5	4	3	1	0	3	1	3	3	6	12
5	5	4	3	1	0	1	3	1	2	4
5	5	4	3	1	1	1	3	1	2	4
5	5	4	3	1	2	1	3	1	2	4
5	5	4	3	1	3	1	3	1	2	4
6	6	5	3	1	0	1	3	1	2	4
6	6	5	3	1	1	1	3	1	2	4
6	6	5	3	1	2	1	3	1	2	4
6	6	5	3	1	3	1	3	1	2	4
7	7	0	3	1	0	1	3	1	2	4
7	7	0	3	1	1	1	3	1	2	4
7	7	0	3	1	2	1	3	1	2	4
7	7	0	3	1	3	1	3	1	2	4
7	8	1	3	1	0	1	3	1	2	4
7	8	1	3	1	1	1	3	1	2	4
7	8	1	3	1	2	1	3	1	2	4
7	8	1	3	1	3	1	3	1	2	4
8	9	2	3	1	0	1	3	1	3	6
8	9	2	3	1	1	1	3	1	3	6
8	9	2	3	1	2	1	3	1	3	6
8	9	2	3	1	3	1	3	1	3	6
8	9	6	3	1	0	1	3	1	2	4
8	9	6	3	1	1	1	3	1	2	4
8	9	6	3	1	2	1	3	1	2	4
8	9	6	3	1	3	1	3	1	2	4
0	0	0	0	0	0	1	4	0	0	1
0	0	0	0	0	1	1	4	0	0	1
0	0	0	0	0	2	1	4	0	0	1
0	0	0	0	0	3	1	4	0	0	1
1	1	1	1	0	0	1	4	3	7	15
1	1	1	1	0	1	1	4	3	7	14
1	1	1	1	0	2	1	4	3	7	14
1	1	1	1	0	3	1	4	3	7	15
2	2	0	2	0	0	1	4	0	0	0
2	2	0	2	0	1	1	4	0	0	0
2	2	0	2	0	2	1	4	0	0	0
2	2	0	2	0	3	1	4	0	0	0
3	3	1	2	0	0	1	4	0	0	1
3	3	1	2	0	1	1	4	0	0	1
3	3	1	2	0	2	1	4	0	0	1
3	3	1	2	0	3	1	4	0	0	1
4	4	2	2	0	0	1	4	2	5	11
4	4	2	2	0	1	1	4	2	5	10
4	4	2	2	0	2	1	4	2	5	10
4	4	2	2	0	3	1	4	2	5	11
5	4	3	1	0	0	1	4	3	6	12
5	4	3	1	0	1	1	4	3	6	13
5	4	3	1	0	2	1	4	3	6	12
5	4	3	1	0	3	1	4	3	6	13
5	5	4	3	1	0	1	4	1	2	4
5	5	4	3	1	1	1	4	1	2	4
5	5	4	3	1	2	1	4	1	2	4
5	5	4	3	1	3	1	4	1	2	4
6	6	5	3	1	0	1	4	1	2	4
6	6	5	3	1	1	1	4	1	2	4
6	6	5	3	1	2	1	4	1	2	4
6	6	5	3	1	3	1	4	1	2	4
7	7	0	3	1	0	1	4	1	2	4
7	7	0	3	1	1	1	4	1	2	4
7	7	0	3	1	2	1	4	1	2	4
7	7	0	3	1	3	1	4	1	2	4
7	8	1	3	1	0	1	4	1	2	4
7	8	1	3	1	1	1	4	1	2	4
7	8	1	3	1	2	1	4	1	2	4
7	8	1	3	1	3	1	4	1	2	4
8	9	2	3	1	0	1	4	1	3	6
8	9	2	3	1	1	1	4	1	3	6
8	9	2	3	1	2	1	4	1	3	6
8	9	2	3	1	3	1	4	1	3	6
8	9	6	3	1	0	1	4	1	2	4
8	9	6	3	1	1	1	4	1	2	4
8	9	6	3	1	2	1	4	1	2	4
8	9	6	3	1	3	1	4	1	2	4
0	0	0	0	0	0	1	5	0	0	1
0	0	0	0	0	1	1	5	0	0	1
0	0	0	0	0	2	1	5	0	0	1
0	0	0	0	0	3	1	5	0	0	1
1	1	1	1	0	0	1	5	3	7	15
1	1	1	1	0	1	1	5	3	7	15
1	1	1	1	0	2	1	5	3	7	14
1	1	1	1	0	3	1	5	3	7	15
2	2	0	2	0	0	1	5	0	0	0
2	2	0	2	0	1	1	5	0	0	0
2	2	0	2	0	2	1	5	0	0	0
2	2	0	2	0	3	1	5	0	0	0
3	3	1	2	0	0	1	5	0	0	1
3	3	1	2	0	1	1	5	0	0	1
3	3	1	2	0	2	1	5	0	0	1
3	3	1	2	0	3	1	5	0	0	1
4	4	2	2	0	0	1	5	2	5	11
4	4	2	2	0	1	1	5	2	5	11
4	4	2	2	0	2	1	5	2	5	11
4	4	2	2	0	3	1	5	2	5	10
5	4	3	1	0	0	1	5	3	6	13
5	4	3	1	0	1	1	5	3	6	12
5	4	3	1	0	2	1	5	3	6	13
5	4	3	1	0	3	1	5	3	6	12
5	5	4	3	1	0	1	5	1	2	4
5	5	4	3	1	1	1	5	1	2	4
5	5	4	3	1	2	1	5	1	2	4
5	5	4	3	1	3	1	5	1	2	4
6	6	5	3	1	0	1	5	1	2	4
6	6	5	3	1	1	1	5	1	2	4
6	6	5	3	1	2	1	5	1	2	4
6	6	5	3	1	3	1	5	1	3	6
7	7	0	3	1	0	1	5	1	2	4
7	7	0	3	1	1	1	5	1	2	4
7	7	0	3	1	2	1	5	1	2	4
7	7	0	3	1	3	1	5	1	2	4
7	8	1	3	1	0	1	5	1	2	4
7	8	1	3	1	1	1	5	1	2	4
7	8	1	3	1	2	1	5	1	2	4
7	8	1	3	1	3	1	5	1	2	4
8	9	2	3	1	0	1	5	1	3	6
8	9	2	3	1	1	1	5	1	3	6
8	9	2	3	1	2	1	5	1	3	6
8	9	2	3	1	3	1	5	1	3	6
8	9	6	3	1	0	1	5	1	2	4
8	9	6	3	1	1	1	5	1	2	4
8	9	6	3	1	2	1	5	1	2	4
8	9	6	3	1	3	1	5	1	2	4
0	0	0	0	0	0	2	1	3	7	14
0	0	0	0	0	1	2	1	3	7	14
0	0	0	0	0	2	2	1	3	7	14
0	0	0	0	0	3	2	1	3	7	14
1	1	1	1	0	0	2	1	3	6	12
1	1	1	1	0	1	2	1	3	6	12
1	1	1	1	0	2	2	1	3	6	12
1	1	1	1	0	3	2	1	3	6	13
2	2	0	2	0	0	2	1	3	7	15
2	2	0	2	0	1	2	1	3	7	15
2	2	0	2	0	2	2	1	3	7	15
2	2	0	2	0	3	2	1	3	7	14
3	3	1	2	0	0	2	1	0	0	0
3	3	1	2	0	1	2	1	0	0	0
3	3	1	2	0	2	2	1	0	0	0
3	3	1	2	0	3	2	1	0	0	0
4	4	2	2	0	0	2	1	2	4	9
4	4	2	2	0	1	2	1	2	4	9
4	4	2	2	0	2	2	1	2	4	9
4	4	2	2	0	3	2	1	2	4	9
5	4	3	1	0	0	2	1	2	5	11
5	4	3	1	0	1	2	1	2	5	10
5	4	3	1	0	2	2	1	2	5	11
5	4	3	1	0	3	2	1	2	5	11
5	5	4	3	1	0	2	1	1	2	4
5	5	4	3	1	1	2	1	1	2	4
5	5	4	3	1	2	2	1	1	2	4
5	5	4	3	1	3	2	1	1	2	4
6	6	5	3	1	0	2	1	1	2	4
6	6	5	3	1	1	2	1	1	2	4
6	6	5	3	1	2	2	1	1	2	4
6	6	5	3	1	3	2	1	1	2	4
7	7	0	3	1	0	2	1	1	2	4
7	7	0	3	1	1	2	1	1	2	4
7	7	0	3	1	2	2	1	1	2	4
7	7	0	3	1	3	2	1	1	2	4
7	8	1	3	1	0	2	1	1	2	4
7	8	1	3	1	1	2	1	1	2	4
7	8	1	3	1	2	2	1	1	2	4
7	8	1	3	1	3	2	1	1	2	4
8	9	2	3	1	0	2	1	1	3	7
8	9	2	3	1	1	2	1	1	3	7
8	9	2	3	1	2	2	1	1	3	7
8	9	2	3	1	3	2	1	1	3	7
8	9	6	3	1	0	2	1	1	3	6
8	9	6	3	1	1	2	1	1	3	6
8	9	6	3	1	2	2	1	1	3	6
8	9	6	3	1	3	2	1	1	3	6
0	0	0	0	0	0	2	2	3	7	14
0	0	0	0	0	1	2	2	3	7	14
0	0	0	0	0	2	2	2	3	7	14
0	0	0	0	0	3	2	2	3	7	14
1	1	1	1	0	0	2	2	3	6	13
1	1	1	1	0	1	2	2	3	6	12
1	1	1	1	0	2	2	2	3	6	13
1	1	1	1	0	3	2	2	3	6	13
2	2	0	2	0	0	2	2	3	7	15
2	2	0	2	0	1	2	2	3	7	15
2	2	0	2	0	2	2	2	3	7	15
2	2	0	2	0	3	2	2	3	7	14
3	3	1	2	0	0	2	2	0	0	0
3	3	1	2	0	1	2	2	0	0	0
3	3	1	2	0	2	2	2	0	0	0
3	3	1	2	0	3	2	2	0	0	1
4	4	2	2	0	0	2	2	2	4	9
4	4	2	2	0	1	2	2	2	4	9
4	4	2	2	0	2	2	2	2	4	9
4	4	2	2	0	3	2	2	2	4	9
5	4	3	1	0	0	2	2	2	5	11
5	4	3	1	0	1	2	2	2	5	11
5	4	3	1	0	2	2	2	2	5	11
5	4	3	1	0	3	2	2	2	5	11
5	5	4	3	1	0	2	2	1	2	4
5	5	4	3	1	1	2	2	1	2	4
5	5	4	3	1	2	2	2	1	2	4
5	5	4	3	1	3	2	2	1	2	4
6	6	5	3	1	0	2	2	1	2	4
6	6	5	3	1	1	2	2	1	2	4
6	6	5	3	1	2	2	2	1	2	4
6	6	5	3	1	3	2	2	1	2	4
7	7	0	3	1	0	2	2	1	2	4
7	7	0	3	1	1	2	2	1	2	4
7	7	0	3	1	2	2	2	1	2	4
7	7	0	3	1	3	2	2	1	2	4
7	8	1	3	1	0	2	2	1	2	4
7	8	1	3	1	1	2	2	1	2	4
7	8	1	3	1	2	2	2	1	2	4
7	8	1	3	1	3	2	2	1	2	4
8	9	2	3	1	0	2	2	1	3	7
8	9	2	3	1	1	2	2	1	3	7
8	9	2	3	1	2	2	2	1	3	7
8	9	2	3	1	3	2	2	1	3	7
8	9	6	3	1	0	2	2	1	3	6
8	9	6	3	1	1	2	2	1	3	6
8	9	6	3	1	2	2	2	1	3	6
8	9	6	3	1	3	2	2	1	3	6
