{0}	{0}	{0}	{0}	{0}	{0}	{0}	{0}	{0}	0	0	1	
{1}	{1}	{0}	{1}	{1}	{1}	{1}	{1}	{1}	3	6	11	
{1}	{2}	{0}	{1}	{1}	{1}	{1}	{1}	{0}	3	6	11	
{1}	{3}	{0}	{1}	{1}	{1}	{1}	{1}	{0}	3	6	11	
{1}	{4}	{0}	{1}	{2}	{1}	{1}	{2}	{0}	0	1	2	
{1}	{5}	{0}	{1}	{1}	{2}	{1}	{1}	{1}	3	6	11	
{1}	{6}	{0}	{2}	{1}	{2}	{0}	{1}	{2}	3	6	12	
{1}	{7}	{0}	{2}	{1}	{2}	{0}	{1}	{3}	3	6	12	
{1}	{8}	{0}	{0, 1, 2, 3, 4}	{3}	{2}	{0}	{1}	{4}	1	2	5	
{1}	{9}	{0}	{3}	{0, 1, 2, 3, 4, 5}	{3}	{2}	{3}	{5}	1	3	6	
{2}	{10}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{2}	{11}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{3}	{12}	{0}	{0}	{4}	{2}	{3}	{2}	{6}	2	4	8	
{3}	{13}	{0}	{4}	{2}	{2}	{3}	{2}	{0}	0	1	3	
{4}	{14}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{4}	{15}	{2}	{0}	{2}	{4}	{3}	{1}	{6}	2	4	7	
{5}	{16}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{5}	{17}	{0}	{0}	{0}	{4}	{1}	{1}	{6}	2	5	9	
{5}	{18}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{5}	{19}	{0}	{4}	{0}	{5}	{1}	{3}	{0, 1, 2, 3, 4, 5, 6, 7}	0	1	2	
{5}	{20}	{0}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	10	
{5}	{21}	{0}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	10	
{5}	{22}	{0}	{0}	{0}	{4}	{1}	{3}	{6}	2	5	10	
{5}	{23}	{0}	{0}	{0}	{4}	{1}	{3}	{6}	2	5	10	
{6}	{24}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{6}	{25}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{6}	{26}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{6}	{27}	{1}	{0}	{0}	{4}	{3}	{2}	{0, 1, 2, 3, 4, 5, 6, 7}	2	5	9	
{6}	{28}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{6}	{29}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{7}	{30}	{0}	{0}	{0}	{5}	{4}	{1}	{1}	0	1	3	
{7}	{31}	{0, 1, 2, 3, 4, 5, 6, 7}	{0}	{0}	{5}	{4}	{1}	{2}	0	1	3	
{7}	{32}	{0}	{0}	{4}	{1}	{4}	{1}	{6}	2	4	8	
{7}	{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208}	{0}	{0}	{4}	{1}	{4}	{1}	{6}	2	4	8	
{7}	{34}	{0}	{4}	{5}	{1}	{4}	{1}	{6}	0	1	2	
{7}	{35}	{0}	{4}	{5}	{1}	{4}	{1}	{0}	0	1	2	
{7}	{36}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{7}	{37}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{7}	{38}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{8}	{39}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{8}	{40}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{8}	{41}	{0}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{8}	{42}	{0}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{8}	{43}	{0}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{9}	{44}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	4	7	
{9}	{45}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{9}	{46}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{9}	{47}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{9}	{48}	{1}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{9}	{49}	{2}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{10}	{50}	{4}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{10}	{51}	{4}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{10}	{52}	{0}	{0}	{2}	{4}	{3}	{2}	{0}	2	4	8	
{10}	{53}	{2}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{10}	{54}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{10}	{55}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	4	7	
{10}	{56}	{2}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{11}	{57}	{3}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{11}	{58}	{3}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{11}	{59}	{3}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{11}	{60}	{3}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{11}	{61}	{3}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{12}	{62}	{0}	{0}	{0}	{4}	{1}	{1}	{6}	2	5	9	
{13}	{63}	{0}	{0}	{4}	{2}	{3}	{4}	{0}	2	4	8	
{13}	{64}	{0}	{0}	{2}	{2}	{3}	{4}	{0}	0	1	3	
{13}	{65}	{0}	{0}	{2}	{3}	{3}	{4}	{1}	0	0	0	
{14}	{66}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{14}	{67}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{14}	{68}	{0}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	9	
{14}	{69}	{0}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	10	
{14}	{70}	{0}	{0}	{4}	{4}	{3}	{1}	{6}	2	5	10	
{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}	{71}	{0}	{0}	{4}	{4}	{3}	{4}	{6}	2	4	7	
{14}	{72}	{2}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	9	
{15}	{73}	{2}	{0}	{0}	{4}	{1}	{1}	{6}	2	5	9	
{15}	{74}	{2}	{0}	{0}	{4}	{1}	{1}	{6}	2	5	9	
{15}	{75}	{2}	{0}	{4}	{4}	{1}	{1}	{6}	2	4	7	
{15}	{76}	{2}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	9	
{15}	{77}	{2}	{0}	{4}	{4}	{3}	{1}	{6}	2	4	7	
{15}	{78}	{2}	{0}	{0}	{4}	{1}	{1}	{6}	2	5	9	
{15}	{79}	{2}	{0}	{4}	{4}	{3}	{1}	{6}	2	4	7	
{16}	{80}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{16}	{81}	{2}	{0}	{0}	{4}	{3}	{3}	{6}	2	5	9	
{16}	{82}	{2}	{0}	{2}	{4}	{3}	{5}	{6}	2	4	8	
{16}	{83}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{16}	{84}	{1}	{0, 1, 2, 3, 4}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{16}	{85}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{16}	{86}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{16}	{87}	{0}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	10	
{16}	{88}	{0}	{0}	{1}	{1}	{3}	{1}	{0}	0	0	0	
{16}	{89}	{0}	{0}	{4}	{1}	{3}	{3}	{6}	2	4	7	
{16}	{90}	{0}	{0}	{1}	{1}	{3}	{3}	{0}	0	0	0	
{16}	{91}	{0}	{0}	{1}	{1}	{3}	{3}	{0}	0	0	0	
{16}	{92}	{0}	{0}	{0}	{4}	{3}	{1}	{6}	2	5	10	
{17}	{93}	{0}	{4}	{2}	{4}	{1}	{2}	{0}	2	4	8	
{17}	{94}	{0}	{4}	{5}	{2}	{4}	{2}	{1}	0	0	0	
{17}	{95}	{0}	{2}	{1}	{2}	{0}	{1}	{3}	3	6	12	
{17}	{96}	{0}	{2}	{1}	{2}	{1}	{0, 1, 2, 3, 4, 5, 6, 7}	{3}	3	6	12	
{17}	{97}	{0}	{1}	{1}	{4}	{1}	{1}	{1}	0	0	1	
{17}	{98}	{0}	{1}	{2}	{4}	{1}	{2}	{0}	0	1	3	
{17}	{99}	{5}	{0, 1, 2, 3, 4}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{100}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{101}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	10	
{17}	{102}	{6}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{103}	{6}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{104}	{5}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{105}	{1}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{106}	{1}	{4}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{17}	{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{108}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{109}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{110}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{111}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{112}	{2}	{0, 1, 2, 3, 4}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{113}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{114}	{2}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{17}	{115}	{2}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{17}	{116}	{2}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{17}	{117}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{118}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	4	7	
{17}	{119}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	4	7	
{17}	{120}	{0}	{4}	{2}	{4}	{1}	{2}	{6}	0	1	3	
{17}	{121}	{0}	{4}	{2}	{1}	{1}	{2}	{0}	0	1	3	
{17}	{122}	{7}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{123}	{7}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{17}	{124}	{3}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{18}	{125}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{18}	{126}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{18}	{127}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{18}	{128}	{0}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{18}	{129}	{0}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{18}	{130}	{0}	{1}	{2}	{1}	{3}	{2}	{0}	0	1	2	
{19}	{131}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{19}	{132}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{19}	{133}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{19}	{134}	{0, 1, 2, 3, 4, 5, 6, 7}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{19}	{135}	{0}	{0}	{2}	{4}	{1}	{2}	{0, 1, 2, 3, 4, 5, 6, 7}	2	4	8	
{19}	{136}	{0}	{0}	{2}	{4}	{1}	{2}	{6}	2	4	8	
{20}	{137}	{0}	{0}	{0}	{4}	{1}	{0}	{6}	2	5	10	
{21}	{138}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{21}	{139}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{21}	{140}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{21}	{141}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{21}	{142}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{21}	{143}	{0}	{4}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{21}	{144}	{0}	{4}	{2}	{1}	{3}	{2}	{6}	0	1	3	
{21}	{145}	{0}	{0}	{2}	{2}	{3}	{2}	{6}	0	1	3	
{21}	{146}	{0}	{4}	{2}	{2}	{3}	{2}	{6}	0	1	3	
{21}	{147}	{0}	{4}	{2}	{2}	{3}	{2}	{6}	0	1	3	
{21}	{148}	{0}	{4}	{2}	{2}	{1}	{2}	{0}	0	1	3	
{21}	{149}	{0}	{0}	{4}	{4}	{1}	{2}	{6}	2	5	10	
{21}	{150}	{0}	{1}	{2}	{1}	{1}	{2}	{0}	0	1	2	
{21}	{151}	{0}	{1}	{1}	{2}	{1}	{1}	{1}	3	6	11	
{21}	{152}	{0}	{1}	{1}	{2}	{1}	{1}	{2}	3	6	11	
{21}	{153}	{0}	{2}	{1}	{3}	{0}	{1}	{3}	3	6	12	
{21}	{154}	{0}	{4}	{5}	{1}	{1}	{1}	{0}	0	1	2	
{21}	{155}	{0}	{1}	{1}	{2}	{1}	{1}	{1}	3	6	11	
{21}	{156}	{0}	{2}	{1}	{0}	{0}	{1}	{3}	3	7	13	
{22}	{157}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{22}	{158}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{22}	{159}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{22}	{160}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	10	
{22}	{161}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{22}	{162}	{0}	{4}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{22}	{163}	{0}	{4}	{4}	{4}	{3}	{2}	{6}	2	4	7	
{22}	{164}	{0}	{4}	{2}	{4}	{3}	{2}	{6}	2	4	8	
{22}	{165}	{0}	{4}	{4}	{1}	{0}	{1}	{6}	2	4	8	
{22}	{166}	{0}	{4}	{4}	{1}	{0}	{1}	{6}	2	4	8	
{22}	{167}	{0}	{1}	{2}	{2}	{3}	{2}	{6}	0	1	2	
{22}	{168}	{0}	{1}	{5}	{6}	{3}	{2}	{0}	3	6	11	
{22}	{169}	{0}	{4}	{2}	{3}	{0}	{1}	{0}	0	0	0	
{23}	{170}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{23}	{171}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{23}	{172}	{2}	{0}	{4}	{2}	{3}	{2}	{6}	2	4	7	
{24}	{173}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{24}	{174}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{24}	{175}	{2}	{0}	{2}	{4}	{3}	{2}	{6}	2	4	7	
{25}	{176}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{25}	{177}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{25}	{178}	{0}	{0}	{0}	{0, 1, 2, 3, 4, 5, 6, 7}	{3}	{0, 1, 2, 3, 4, 5, 6, 7}	{6}	2	5	9	
{25}	{179}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{25}	{180}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{26}	{181}	{2}	{0, 1, 2, 3, 4}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{26}	{182}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{26}	{183}	{0}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{26}	{184}	{0}	{0}	{0}	{4}	{1}	{2}	{6}	2	5	10	
{26}	{185}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{26}	{186}	{0}	{4}	{2}	{1}	{3}	{2}	{0}	0	1	3	
{26}	{187}	{0}	{4}	{4}	{4}	{1}	{2}	{6}	2	4	7	
{26}	{188}	{0}	{4}	{4}	{1}	{1}	{2}	{6}	2	4	8	
{26}	{189}	{0}	{1}	{2}	{2}	{4}	{1}	{0}	0	1	2	
{26}	{190}	{0}	{1}	{5}	{1}	{1}	{2}	{0}	0	0	0	
{26}	{191}	{0}	{1}	{1}	{2}	{4}	{2}	{1}	3	6	11	
{26}	{192}	{0}	{1}	{1}	{3}	{5}	{1}	{2}	3	6	12	
{27}	{193}	{0}	{0}	{4}	{1}	{3}	{1}	{6}	2	4	7	
{27}	{194}	{0}	{0}	{1}	{4}	{1}	{1}	{6}	0	0	0	
{27}	{195}	{0}	{0}	{1}	{1}	{5}	{4}	{0}	0	0	1	
{27}	{196}	{0}	{0}	{1}	{3}	{6}	{6}	{1}	3	6	12	
{27}	{197}	{0}	{4}	{1}	{3}	{6}	{6}	{2}	3	6	12	
{27}	{198}	{0}	{1}	{3}	{7}	{4}	{7}	{0, 1, 2, 3, 4, 5, 6, 7}	1	2	4	
{27}	{199}	{0}	{1}	{3}	{3}	{4}	{7}	{5}	1	2	4	
{27}	{200}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{201}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{202}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{203}	{2}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	
{27}	{204}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{27}	{205}	{0}	{0}	{4}	{1}	{3}	{2}	{6}	2	4	7	
{28}	{206}	{0}	{0}	{4}	{4}	{3}	{2}	{6}	2	5	10	
{29}	{207}	{5}	{0}	{4}	{1}	{3}	{2}	{6}	2	5	10	
{29}	{208}	{5}	{0}	{0}	{4}	{3}	{2}	{6}	2	5	9	